"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","uni_code","responses","stimulus","reverse","item1","item2","correct","round"
"1461","32","text","0","1463","0.0-0.0","sr3300","","","","","","",""
"5872","","survey-text","1","8345","0.0-1.0","sr3300","{""Q0"":""sr3300""}","","","","","",""
"20549","81","text","2","29900","0.0-2.0","sr3300","","","","","","",""
"1265","81","binary-choice","3","33171","0.0-3.0-0.0","sr3300","","[""img/6_food.jpg"",""img/6_food.jpg"",""img/12_food.jpg""]","true","12","6","true","1"
"3141","81","binary-choice","4","37167","0.0-3.0-1.0","sr3300","","[""img/26_food.jpg"",""img/26_food.jpg"",""img/27_food.jpg""]","false","26","27","true","2"
"6721","80","binary-choice","5","44850","0.0-3.0-2.0","sr3300","","[""img/10_food.jpg"",""img/10_food.jpg"",""img/25_food.jpg""]","true","25","10","true","3"
"1029","80","binary-choice","6","46418","0.0-3.0-3.0","sr3300","","[""img/7_food.jpg"",""img/7_food.jpg"",""img/28_food.jpg""]","false","7","28","true","4"
"995","81","binary-choice","7","47719","0.0-3.0-4.0","sr3300","","[""img/13_food.jpg"",""img/13_food.jpg"",""img/19_food.jpg""]","false","13","19","true","5"
"1137","81","binary-choice","8","49219","0.0-3.0-5.0","sr3300","","[""img/12_food.jpg"",""img/12_food.jpg"",""img/19_food.jpg""]","false","12","19","true","6"
"1236","81","binary-choice","9","51122","0.0-3.0-6.0","sr3300","","[""img/1_food.jpg"",""img/1_food.jpg"",""img/12_food.jpg""]","false","1","12","true","7"
"1319","80","binary-choice","10","53234","0.0-3.0-7.0","sr3300","","[""img/12_food.jpg"",""img/12_food.jpg"",""img/25_food.jpg""]","true","25","12","true","8"
"1210","80","binary-choice","11","55273","0.0-3.0-8.0","sr3300","","[""img/13_food.jpg"",""img/13_food.jpg"",""img/14_food.jpg""]","true","14","13","true","9"
"1413","81","binary-choice","12","57129","0.0-3.0-9.0","sr3300","","[""img/4_food.jpg"",""img/4_food.jpg"",""img/22_food.jpg""]","false","4","22","true","10"
"1656","81","binary-choice","13","59565","0.0-3.0-10.0","sr3300","","[""img/9_food.jpg"",""img/9_food.jpg"",""img/13_food.jpg""]","false","9","13","true","11"
"1093","80","binary-choice","14","61642","0.0-3.0-11.0","sr3300","","[""img/13_food.jpg"",""img/13_food.jpg"",""img/26_food.jpg""]","false","13","26","true","12"
"2372","81","binary-choice","15","64425","0.0-3.0-12.0","sr3300","","[""img/1_food.jpg"",""img/1_food.jpg"",""img/4_food.jpg""]","false","1","4","true","13"
"1066","80","binary-choice","16","66466","0.0-3.0-13.0","sr3300","","[""img/2_food.jpg"",""img/2_food.jpg"",""img/26_food.jpg""]","false","2","26","true","14"
"1025","81","binary-choice","17","67818","0.0-3.0-14.0","sr3300","","[""img/8_food.jpg"",""img/8_food.jpg"",""img/11_food.jpg""]","true","11","8","true","15"
"1682","81","binary-choice","18","70413","0.0-3.0-15.0","sr3300","","[""img/15_food.jpg"",""img/15_food.jpg"",""img/25_food.jpg""]","false","15","25","true","16"
"1201","80","binary-choice","19","72169","0.0-3.0-16.0","sr3300","","[""img/20_food.jpg"",""img/20_food.jpg"",""img/29_food.jpg""]","true","29","20","true","17"
"959","80","binary-choice","20","73953","0.0-3.0-17.0","sr3300","","[""img/3_food.jpg"",""img/3_food.jpg"",""img/9_food.jpg""]","false","3","9","true","18"
"1350","80","binary-choice","21","75961","0.0-3.0-18.0","sr3300","","[""img/4_food.jpg"",""img/4_food.jpg"",""img/12_food.jpg""]","true","12","4","true","19"
"1411","80","binary-choice","22","78321","0.0-3.0-19.0","sr3300","","[""img/17_food.jpg"",""img/17_food.jpg"",""img/26_food.jpg""]","false","17","26","true","20"
